Allocation Id,Data name,Sender,Receiver,instance_dimension,Signal Id,Message ID,Label,start bit,stop bit,encoding,unit,scale,resolution,minimum,maximum,Refresh rate,validity,notes,On aircraft ?,On FND ?,On Sim ?
DBUS-229,CON motor st2 spare,EMC,HICU,EM-{n},SIG-220,9Y2,con_motor_st2,59,56,Spare,,,,,,10,"Frame CRC, plus receiver freshness timeout",,No,TBD,TBD
DBUS-230,CON speed measured,EMC,HICU,EM-{n},SIG-004,9Y2,con_motor_st2,55,40,INT16,RPM,,0.5,-16384,16383.5,10,"Frame CRC, plus receiver freshness timeout",,Yes,TBD,TBD
DBUS-231,CON torque estimate,EMC,HICU,EM-{n},SIG-201,9Y2,con_motor_st2,39,24,INT16,Nm,,0.05,-1638.4,1638.35,10,"Frame CRC, plus receiver freshness timeout",,Yes,TBD,TBD
DBUS-232,CON setpoint echo,EMC,HICU,EM-{n},SIG-202,9Y2,con_motor_st2,23,8,INT16,,,,,,10,"Frame CRC, plus receiver freshness timeout",mode-dependent scale,Yes,TBD,TBD
DBUS-233,CON CRC st2,EMC,HICU,EM-{n},SIG-213,9Y2,con_motor_st2,7,0,UINT8,,,1,0,255,10,"Frame CRC, plus receiver freshness timeout",,Yes,TBD,TBD
DBUS-234,CON freshness st3,EMC,HICU,EM-{n},SIG-211,9Y3,con_vitals_st3,63,60,Encoded,,,1,0,15,10,"Frame CRC, plus receiver freshness timeout",,Yes,TBD,TBD
DBUS-235,CON HV undervoltage,EMC,HICU,EM-{n},SIG-059,9Y3,con_vitals_st3,59,59,BOOL,,,,,,10,"Frame CRC, plus receiver freshness timeout",,Yes,TBD,TBD
DBUS-236,CON HV overvoltage,EMC,HICU,EM-{n},SIG-059,9Y3,con_vitals_st3,58,58,BOOL,,,,,,10,"Frame CRC, plus receiver freshness timeout",,Yes,TBD,TBD
DBUS-237,CON vitals spare1,EMC,HICU,EM-{n},SIG-220,9Y3,con_vitals_st3,57,57,Spare,,,,,,10,"Frame CRC, plus receiver freshness timeout",,No,TBD,TBD
DBUS-238,CON bus B selected,EMC,HICU,EM-{n},SIG-059,9Y3,con_vitals_st3,56,56,BOOL,,,,,,10,"Frame CRC, plus receiver freshness timeout",,Yes,TBD,TBD
DBUS-239,CON bus A selected,EMC,HICU,EM-{n},SIG-059,9Y3,con_vitals_st3,55,55,BOOL,,,,,,10,"Frame CRC, plus receiver freshness timeout",,Yes,TBD,TBD
DBUS-240,CON current sensor fault,EMC,HICU,EM-{n},SIG-059,9Y3,con_vitals_st3,54,54,BOOL,,,,,,10,"Frame CRC, plus receiver freshness timeout",,Yes,TBD,TBD
DBUS-241,CON bus B valid,EMC,HICU,EM-{n},SIG-059,9Y3,con_vitals_st3,53,53,BOOL,,,,,,10,"Frame CRC, plus receiver freshness timeout",,Yes,TBD,TBD
DBUS-242,CON bus A valid,EMC,HICU,EM-{n},SIG-059,9Y3,con_vitals_st3,52,52,BOOL,,,,,,10,"Frame CRC, plus receiver freshness timeout",,Yes,TBD,TBD
DBUS-243,CON inverter retry count,EMC,HICU,EM-{n},SIG-219,9Y3,con_vitals_st3,51,48,Encoded,,,1,0,15,10,"Frame CRC, plus receiver freshness timeout",,Yes,TBD,TBD
DBUS-244,CON gate driver fault,EMC,HICU,EM-{n},SIG-059,9Y3,con_vitals_st3,47,47,BOOL,,,,,,10,"Frame CRC, plus receiver freshness timeout",,Yes,TBD,TBD
DBUS-245,CON vitals spare2,EMC,HICU,EM-{n},SIG-220,9Y3,con_vitals_st3,46,46,Spare,,,,,,10,"Frame CRC, plus receiver freshness timeout",,No,TBD,TBD
DBUS-246,CON discrete disable status,EMC,HICU,EM-{n},SIG-210,9Y3,con_vitals_st3,45,45,BOOL,,,,,,10,"Frame CRC, plus receiver freshness timeout",,Yes,TBD,TBD
DBUS-247,CON RPS fail,EMC,HICU,EM-{n},SIG-059,9Y3,con_vitals_st3,44,44,BOOL,,,,,,10,"Frame CRC, plus receiver freshness timeout",,Yes,TBD,TBD
DBUS-248,CON MON fail,EMC,HICU,EM-{n},SIG-059,9Y3,con_vitals_st3,43,43,BOOL,,,,,,10,"Frame CRC, plus receiver freshness timeout",OEM label mcu_mon_fail.,Yes,TBD,TBD
DBUS-249,CON vitals spare3,EMC,HICU,EM-{n},SIG-220,9Y3,con_vitals_st3,42,42,Spare,,,,,,10,"Frame CRC, plus receiver freshness timeout",,No,TBD,TBD
DBUS-250,CON NVM init check failed,EMC,HICU,EM-{n},SIG-059,9Y3,con_vitals_st3,41,41,BOOL,,,,,,10,"Frame CRC, plus receiver freshness timeout",,Yes,TBD,TBD
DBUS-251,CON CMB overtemperature,EMC,HICU,EM-{n},SIG-059,9Y3,con_vitals_st3,40,40,BOOL,,,,,,10,"Frame CRC, plus receiver freshness timeout",,Yes,TBD,TBD
DBUS-252,CON inverter temperature,EMC,HICU,EM-{n},SIG-060,9Y3,con_vitals_st3,39,32,UINT8,deg C,,1,-40,215,10,"Frame CRC, plus receiver freshness timeout",offset=-40,Yes,TBD,TBD
DBUS-253,CON inverter overtemperature,EMC,HICU,EM-{n},SIG-059,9Y3,con_vitals_st3,31,31,BOOL,,,,,,10,"Frame CRC, plus receiver freshness timeout",,Yes,TBD,TBD
DBUS-254,CON vitals spare4,EMC,HICU,EM-{n},SIG-220,9Y3,con_vitals_st3,30,24,Spare,,,,,,10,"Frame CRC, plus receiver freshness timeout",,No,TBD,TBD
DBUS-255,CON CRC st3,EMC,HICU,EM-{n},SIG-213,9Y3,con_vitals_st3,23,16,UINT8,,,1,0,255,10,"Frame CRC, plus receiver freshness timeout",,Yes,TBD,TBD
DBUS-256,CON freshness st4,EMC,HICU,EM-{n},SIG-211,9Y4,con_config_st4,63,60,Encoded,,,1,0,15,10,"Frame CRC, plus receiver freshness timeout",,Yes,TBD,TBD
DBUS-257,CON EPU location ID,EMC,HICU,EM-{n},SIG-215,9Y4,con_config_st4,59,56,ENUM,,,,,,10,"Frame CRC, plus receiver freshness timeout",,Yes,TBD,TBD
DBUS-258,CON software version,EMC,HICU,EM-{n},SIG-216,9Y4,con_config_st4,55,48,UINT8,,,1,0,255,10,"Frame CRC, plus receiver freshness timeout",,Yes,TBD,TBD
DBUS-259,CON CRC st4,EMC,HICU,EM-{n},SIG-213,9Y4,con_config_st4,47,40,UINT8,,,1,0,255,10,"Frame CRC, plus receiver freshness timeout",,Yes,TBD,TBD
DBUS-260,MON freshness st1,EMC,HICU,EM-{n},SIG-212,9Y5,mon_inverter_st1,63,60,Encoded,,,1,0,15,10,"Frame CRC, plus receiver freshness timeout",,Yes,TBD,TBD
DBUS-261,MON inverter st1 spare,EMC,HICU,EM-{n},SIG-220,9Y5,mon_inverter_st1,59,56,Spare,,,,,,10,"Frame CRC, plus receiver freshness timeout",,No,TBD,TBD
DBUS-262,MON HVDC current,EMC,HICU,EM-{n},SIG-200,9Y5,mon_inverter_st1,55,40,INT16,Adc,,0.02,-655.36,655.34,10,"Frame CRC, plus receiver freshness timeout",offset=0,Yes,TBD,TBD
DBUS-263,MON HVDC voltage,EMC,HICU,EM-{n},SIG-199,9Y5,mon_inverter_st1,39,24,INT16,Vdc,,0.05,-1638.4,1638.35,10,"Frame CRC, plus receiver freshness timeout",offset=0,Yes,TBD,TBD
DBUS-264,MON CRC st1,EMC,HICU,EM-{n},SIG-214,9Y5,mon_inverter_st1,23,16,UINT8,,,1,0,255,10,"Frame CRC, plus receiver freshness timeout",,Yes,TBD,TBD
DBUS-265,MON freshness st2,EMC,HICU,EM-{n},SIG-212,9Y6,mon_motor_st2,63,60,Encoded,,,1,0,15,10,"Frame CRC, plus receiver freshness timeout",,Yes,TBD,TBD
DBUS-266,MON motor st2 spare1,EMC,HICU,EM-{n},SIG-220,9Y6,mon_motor_st2,59,56,Spare,,,,,,10,"Frame CRC, plus receiver freshness timeout",,No,TBD,TBD
DBUS-267,MON speed measured,EMC,HICU,EM-{n},SIG-196,9Y6,mon_motor_st2,55,40,INT16,RPM,,0.5,-16384,16383.5,10,"Frame CRC, plus receiver freshness timeout",,Yes,TBD,TBD
DBUS-268,MON motor st2 spare2,EMC,HICU,EM-{n},SIG-220,9Y6,mon_motor_st2,39,24,Spare,,,,,,10,"Frame CRC, plus receiver freshness timeout",,No,TBD,TBD
DBUS-269,MON setpoint echo,EMC,HICU,EM-{n},SIG-203,9Y6,mon_motor_st2,23,8,INT16,,,,,,10,"Frame CRC, plus receiver freshness timeout",,Yes,TBD,TBD
DBUS-270,MON CRC st2,EMC,HICU,EM-{n},SIG-214,9Y6,mon_motor_st2,7,0,UINT8,,,1,0,255,10,"Frame CRC, plus receiver freshness timeout",,Yes,TBD,TBD
DBUS-271,MON freshness st3,EMC,HICU,EM-{n},SIG-212,9Y7,mon_vitals_st3,63,60,Encoded,,,1,0,15,10,"Frame CRC, plus receiver freshness timeout",,Yes,TBD,TBD
DBUS-272,MON LVDC1 undervoltage,EMC,HICU,EM-{n},SIG-059,9Y7,mon_vitals_st3,59,59,BOOL,,,,,,10,"Frame CRC, plus receiver freshness timeout",,Yes,TBD,TBD
DBUS-273,MON LVDC2 undervoltage,EMC,HICU,EM-{n},SIG-059,9Y7,mon_vitals_st3,58,58,BOOL,,,,,,10,"Frame CRC, plus receiver freshness timeout",,Yes,TBD,TBD
DBUS-274,MON LVDC1 overvoltage,EMC,HICU,EM-{n},SIG-059,9Y7,mon_vitals_st3,57,57,BOOL,,,,,,10,"Frame CRC, plus receiver freshness timeout",,Yes,TBD,TBD
DBUS-275,MON LVDC2 overvoltage,EMC,HICU,EM-{n},SIG-059,9Y7,mon_vitals_st3,56,56,BOOL,,,,,,10,"Frame CRC, plus receiver freshness timeout",,Yes,TBD,TBD
DBUS-276,MON HV undervoltage,EMC,HICU,EM-{n},SIG-059,9Y7,mon_vitals_st3,55,55,BOOL,,,,,,10,"Frame CRC, plus receiver freshness timeout",,Yes,TBD,TBD
DBUS-277,MON HV overvoltage,EMC,HICU,EM-{n},SIG-059,9Y7,mon_vitals_st3,54,54,BOOL,,,,,,10,"Frame CRC, plus receiver freshness timeout",,Yes,TBD,TBD
DBUS-278,MON bus B selected,EMC,HICU,EM-{n},SIG-059,9Y7,mon_vitals_st3,53,53,BOOL,,,,,,10,"Frame CRC, plus receiver freshness timeout",,Yes,TBD,TBD
DBUS-279,MON bus A selected,EMC,HICU,EM-{n},SIG-059,9Y7,mon_vitals_st3,52,52,BOOL,,,,,,10,"Frame CRC, plus receiver freshness timeout",,Yes,TBD,TBD
DBUS-280,MON overspeed,EMC,HICU,EM-{n},SIG-059,9Y7,mon_vitals_st3,51,51,BOOL,,,,,,10,"Frame CRC, plus receiver freshness timeout",,Yes,TBD,TBD
DBUS-281,MON bus B valid,EMC,HICU,EM-{n},SIG-059,9Y7,mon_vitals_st3,50,50,BOOL,,,,,,10,"Frame CRC, plus receiver freshness timeout",,Yes,TBD,TBD
DBUS-282,MON bus A valid,EMC,HICU,EM-{n},SIG-059,9Y7,mon_vitals_st3,49,49,BOOL,,,,,,10,"Frame CRC, plus receiver freshness timeout",,Yes,TBD,TBD
DBUS-283,MON reverse speed,EMC,HICU,EM-{n},SIG-059,9Y7,mon_vitals_st3,48,48,BOOL,,,,,,10,"Frame CRC, plus receiver freshness timeout",,Yes,TBD,TBD
DBUS-284,MON stator temperature,EMC,HICU,EM-{n},SIG-204,9Y7,mon_vitals_st3,47,40,UINT8,deg C,,1,-40,215,10,"Frame CRC, plus receiver freshness timeout",,Yes,TBD,TBD
DBUS-285,MON coolant inlet temperature,EMC,HICU,EM-{n},SIG-205,9Y7,mon_vitals_st3,39,32,UINT8,deg C,,1,-40,215,10,"Frame CRC, plus receiver freshness timeout",offset=-40,Yes,TBD,TBD
DBUS-286,MON board temperature,EMC,HICU,EM-{n},SIG-206,9Y7,mon_vitals_st3,31,24,UINT8,deg C,,1,-40,215,10,"Frame CRC, plus receiver freshness timeout",offset=-40,TBD,TBD,TBD
DBUS-287,MON CON fail,EMC,HICU,EM-{n},SIG-059,9Y7,mon_vitals_st3,23,23,BOOL,,,,,,10,"Frame CRC, plus receiver freshness timeout",OEM label mcu_con_fail.,Yes,TBD,TBD
DBUS-288,MON vitals spare,EMC,HICU,EM-{n},SIG-220,9Y7,mon_vitals_st3,22,16,Spare,,,,,,10,"Frame CRC, plus receiver freshness timeout",,No,TBD,TBD
DBUS-289,MON CRC st3,EMC,HICU,EM-{n},SIG-214,9Y7,mon_vitals_st3,15,8,UINT8,,,1,0,255,10,"Frame CRC, plus receiver freshness timeout",,Yes,TBD,TBD
DBUS-290,MON freshness st4,EMC,HICU,EM-{n},SIG-212,9Y8,mon_config_st4,63,60,Encoded,,,1,0,15,10,"Frame CRC, plus receiver freshness timeout",,Yes,TBD,TBD
DBUS-291,MON EPU location ID,EMC,HICU,EM-{n},SIG-217,9Y8,mon_config_st4,59,56,ENUM,,,,,,10,"Frame CRC, plus receiver freshness timeout",,Yes,TBD,TBD
DBUS-292,MON config spare,EMC,HICU,EM-{n},SIG-220,9Y8,mon_config_st4,55,48,Spare,,,,,,10,"Frame CRC, plus receiver freshness timeout",,No,TBD,TBD
DBUS-293,MON software version,EMC,HICU,EM-{n},SIG-218,9Y8,mon_config_st4,47,40,UINT8,,,1,0,255,10,"Frame CRC, plus receiver freshness timeout",,Yes,TBD,TBD
DBUS-294,MON CRC st4,EMC,HICU,EM-{n},SIG-214,9Y8,mon_config_st4,39,32,UINT8,,,1,0,255,10,"Frame CRC, plus receiver freshness timeout",,Yes,TBD,TBD
DBUS-022,Turbine torque target,HICU,EPECS,,SIG-093,TBD,TBD,TBD,TBD,TBD,,,,,,20,"Frame CRC, plus receiver freshness timeout",,TBD,TBD,TBD
DBUS-023,Propeller speed target,HICU,EPECS,,SIG-097,TBD,TBD,TBD,TBD,BNR,rpm,,,,,20,"Frame CRC, plus receiver freshness timeout",,TBD,TBD,TBD
