Allocation Id,Data name,Sender,Receiver,instance_dimension,Signal Id,Message ID,Label,start bit,stop bit,encoding,unit,scale,resolution,minimum,maximum,Refresh rate,validity,notes,On aircraft ?,On FND ?,On Sim ?
DBUS-061,IPTMS loop 2 TBV position feedback,IPTMS,HICU,,SIG-057,TBD,TBD,TBD,TBD,BNR,%,,,,,100,"Frame CRC, plus receiver freshness timeout",,TBD,TBD,TBD
DBUS-062,IPTMS cross-loop TBV position feedback,IPTMS,HICU,,SIG-058,TBD,TBD,TBD,TBD,BNR,%,,,,,100,"Frame CRC, plus receiver freshness timeout",,TBD,TBD,TBD
DBUS-070,Main engine oil chip detection,EPECS,HICU,,SIG-061,TBD,TBD,TBD,TBD,Discrete,,,,,,100,"Frame CRC, plus receiver freshness timeout",,TBD,TBD,TBD
DBUS-071,Turbine oil chip maintenance flag,EPECS,HICU,,SIG-062,TBD,TBD,TBD,TBD,Discrete,,,,,,100,"Frame CRC, plus receiver freshness timeout",,TBD,TBD,TBD
DBUS-072,FCU metering differential pressure,EPECS,HICU,,SIG-063,TBD,TBD,TBD,TBD,BNR,,,,,,100,"Frame CRC, plus receiver freshness timeout",,TBD,TBD,TBD
DBUS-073,Propeller heating request,HICU,EPECS,,SIG-235,TBD,TBD,TBD,TBD,Discrete,,,,,,20,"Frame CRC, plus receiver freshness timeout","Aircraft-level anti-ice request relayed by the HICU to the EPECS; the EPECS drives the heating element with its own hardwired command, which is not carried on any bus.",TBD,TBD,TBD
DBUS-077,EPECS status / fault word,EPECS,HICU,,SIG-064,TBD,TBD,TBD,TBD,Discrete,,,,,,100,"Frame CRC, plus receiver freshness timeout",,TBD,TBD,TBD
DBUS-084,Turbine shutdown command,HICU,EPECS,,SIG-100,TBD,TBD,TBD,TBD,Discrete,,,,,,20,"Frame CRC, plus receiver freshness timeout",Relayed from the FCC; the inbound leg is on the FCS propulsion control bus.,TBD,TBD,TBD
DBUS-085,HVPDU contactor command,HICU,HVPDU,,SIG-079,TBD,TBD,TBD,TBD,Discrete,,,,,,20,"Frame CRC, plus receiver freshness timeout",Aircraft-level contactor command relayed by HICU; local protection stays in the HVPDU.,Yes,TBD,TBD
DBUS-086,HVPDU load / SSPC command,HICU,HVPDU,,SIG-081,TBD,TBD,TBD,TBD,Discrete,,,,,,20,"Frame CRC, plus receiver freshness timeout",High-voltage load and solid-state power controller command from HICU.,Yes,TBD,TBD
DBUS-087,HV line current,HVPDU,HICU,,SIG-035,TBD,TBD,TBD,TBD,BNR,A,,,,,100,"Frame CRC, plus receiver freshness timeout",Inbound leg of the HVPDU reporting path; HICU relays it to the avionics on AVIO_HS.,Yes,TBD,TBD
DBUS-088,HV line voltage,HVPDU,HICU,,SIG-036,TBD,TBD,TBD,TBD,BNR,V,,,,,100,"Frame CRC, plus receiver freshness timeout",Inbound leg of the HVPDU reporting path; HICU relays it to the avionics on AVIO_HS.,Yes,TBD,TBD
DBUS-089,HVPDU EMC feed current,HVPDU,HICU,EM-{n},SIG-143,TBD,TBD,TBD,TBD,BNR,A,,,,,100,"Frame CRC, plus receiver freshness timeout",One feed current per motor controller; distinct from the EMC-measured phase current.,Yes,TBD,TBD
DBUS-090,HVPDU auxiliary feed current,HVPDU,HICU,,SIG-144,TBD,TBD,TBD,TBD,BNR,A,,,,,100,"Frame CRC, plus receiver freshness timeout",,Yes,TBD,TBD
DBUS-091,HVPDU temperature,HVPDU,HICU,,SIG-145,TBD,TBD,TBD,TBD,BNR,degC,,,,,100,"Frame CRC, plus receiver freshness timeout",,Yes,TBD,TBD
DBUS-092,HVPDU actual power,HVPDU,HICU,,SIG-130,TBD,TBD,TBD,TBD,BNR,kW,,,,,100,"Frame CRC, plus receiver freshness timeout",Inbound leg for the avionics backbone relay.,Yes,TBD,TBD
DBUS-093,BTMS loop 1 coolant inlet temperature,BTMS,HICU,,SIG-146,TBD,TBD,TBD,TBD,BNR,degC,,,,,100,"Frame CRC, plus receiver freshness timeout","BTMS is per wing while NAC_CTRL is per nacelle: BTMS-1 reports on NAC_CTRL_1 and NAC_CTRL_2, BTMS-2 on NAC_CTRL_3 and NAC_CTRL_4, so each BTMS value reaches two HICUs. Confirm which HICU is the relaying master for AVIO_HS.",Yes,TBD,TBD
DBUS-094,BTMS loop 1 coolant outlet temperature,BTMS,HICU,,SIG-147,TBD,TBD,TBD,TBD,BNR,degC,,,,,100,"Frame CRC, plus receiver freshness timeout",,Yes,TBD,TBD
DBUS-095,BTMS loop 1 coolant differential pressure,BTMS,HICU,,SIG-148,TBD,TBD,TBD,TBD,BNR,,,,,,100,"Frame CRC, plus receiver freshness timeout",,Yes,TBD,TBD
DBUS-096,BTMS loop 2 coolant inlet temperature,BTMS,HICU,,SIG-149,TBD,TBD,TBD,TBD,BNR,degC,,,,,100,"Frame CRC, plus receiver freshness timeout",,Yes,TBD,TBD
DBUS-097,BTMS loop 2 coolant outlet temperature,BTMS,HICU,,SIG-150,TBD,TBD,TBD,TBD,BNR,degC,,,,,100,"Frame CRC, plus receiver freshness timeout",,Yes,TBD,TBD
DBUS-098,BTMS loop 2 coolant differential pressure,BTMS,HICU,,SIG-151,TBD,TBD,TBD,TBD,BNR,,,,,,100,"Frame CRC, plus receiver freshness timeout",,Yes,TBD,TBD
DBUS-099,BTMS coolant status,BTMS,HICU,,SIG-132,TBD,TBD,TBD,TBD,TBD,,,,,,100,"Frame CRC, plus receiver freshness timeout",Inbound BTMS leg for the avionics backbone relay; the IPTMS status has its own separate path.,Yes,TBD,TBD
DBUS-100,BTMS temperature target,HICU,BTMS,,SIG-131,TBD,TBD,TBD,TBD,BNR,degC,,,,,100,"Frame CRC, plus receiver freshness timeout",Outbound leg of the avionics backbone command: the HICU relays the aircraft-level battery thermal target to the BTMS.,Yes,TBD,TBD
DBUS-114,HVDC assembly state of charge,MBMS,HICU,,SIG-163,TBD,TBD,TBD,TBD,BNR,%,,,,,100,"Frame CRC, plus receiver freshness timeout",Consolidated battery reporting from the MBMS to the HICU. Only assembly-level values cross this interface; the twelve per-pack reports stay on NAC_BAT. Relayed on to the avionics on AVIO_HS.,Yes,TBD,TBD
DBUS-115,HVDC assembly state of power - charge,MBMS,HICU,,SIG-164,TBD,TBD,TBD,TBD,BNR,kW,,,,,100,"Frame CRC, plus receiver freshness timeout",,Yes,TBD,TBD
DBUS-116,HVDC assembly state of power - discharge,MBMS,HICU,,SIG-165,TBD,TBD,TBD,TBD,BNR,kW,,,,,100,"Frame CRC, plus receiver freshness timeout",,Yes,TBD,TBD
DBUS-117,HVDC assembly number of packs connected,MBMS,HICU,,SIG-166,TBD,TBD,TBD,TBD,BNR,,,,0,12,100,"Frame CRC, plus receiver freshness timeout",HICU sees the pack connection state through this count; the per-pack contactor status stays on NAC_BAT.,Yes,TBD,TBD
DBUS-118,HVDC assembly maximum pack temperature,MBMS,HICU,,SIG-167,TBD,TBD,TBD,TBD,BNR,degC,,,,,100,"Frame CRC, plus receiver freshness timeout",,Yes,TBD,TBD
DBUS-119,HVDC assembly minimum pack temperature,MBMS,HICU,,SIG-168,TBD,TBD,TBD,TBD,BNR,degC,,,,,100,"Frame CRC, plus receiver freshness timeout",,Yes,TBD,TBD
DBUS-120,HVDC assembly failure / fault word,MBMS,HICU,,SIG-169,TBD,TBD,TBD,TBD,TBD,,,,,,100,"Frame CRC, plus receiver freshness timeout",,Yes,TBD,TBD
DBUS-121,HVDC assembly on command,HICU,MBMS,,SIG-170,TBD,TBD,TBD,TBD,Discrete,,,,,,20,"Frame CRC, plus receiver freshness timeout",Assembly connect / disconnect request. The MBMS decides which packs to connect and issues the pack contactor commands itself on the battery bus.,Yes,TBD,TBD
DBUS-122,Pack isolation request,HICU,MBMS,,SIG-192,TBD,TBD,TBD,TBD,TBD,,,,,,20,"Frame CRC, plus receiver freshness timeout","Top-level request to isolate a pack, carrying the target pack in the payload. The MBMS chooses the means and fires the hardwired pack discretes itself; those discretes are not carried on any bus.",Yes,TBD,TBD
DBUS-296,AGB chip detection,EPECS,HICU,,SIG-029,TBD,TBD,TBD,TBD,TBD,,,,,,100,"Frame CRC, plus receiver freshness timeout",Maintenance-relevant discrete acquired by the EPECS and reported for onward health reporting.,,,
DBUS-297,Engine oil level,EPECS,HICU,,SIG-030,TBD,TBD,TBD,TBD,TBD,,,,,,100,"Frame CRC, plus receiver freshness timeout",,,,
DBUS-298,HV isolation resistance status,HVPDU,HICU,,SIG-037,TBD,TBD,TBD,TBD,TBD,,,,,,100,"Frame CRC, plus receiver freshness timeout","Acquired by the insulation monitoring device and reported by the HVPDU, which is the bus node.",,,
DBUS-299,Electric motor coolant delta pressure,IPTMS,HICU,EM-{n},SIG-005,TBD,TBD,TBD,TBD,TBD,,,,,,100,"Frame CRC, plus receiver freshness timeout",,,,
DBUS-300,Electric motor coolant outlet temperature,IPTMS,HICU,EM-{n},SIG-006,TBD,TBD,TBD,TBD,TBD,,,,,,100,"Frame CRC, plus receiver freshness timeout",Per-motor coolant measurement acquired by the IPTMS; one occurrence per motor.,,,
