Allocation Id,Data name,Sender,Receiver,Instance dimension,Signal Id,Message ID,Label,Start bit,Stop bit,Encoding,Unit,Scale,Resolution,Minimum,Maximum,Refresh period (ms),Validity,Notes,On aircraft ?,On FND ?,On Sim ?
DBUS-001,Aircraft pitch angle,IRU,DCU;FCC;FMS,,SIG-038,TBD,TBD,TBD,TBD,BNR,deg,,,,,20,"Sign / status matrix in the word, plus receiver freshness timeout",Label and rate TBD,TBD,TBD,TBD
DBUS-002,Aircraft roll angle,IRU,DCU;FCC;FMS,,SIG-039,TBD,TBD,TBD,TBD,BNR,deg,,,,,20,"Sign / status matrix in the word, plus receiver freshness timeout",Label and rate TBD,TBD,TBD,TBD
DBUS-003,Aircraft heading angle,IRU,DCU;FCC;FMS,,SIG-040,TBD,TBD,TBD,TBD,BNR,deg,,,,,20,"Sign / status matrix in the word, plus receiver freshness timeout",True vs magnetic TBD; label and rate TBD,TBD,TBD,TBD
DBUS-004,Aircraft longitudinal acceleration,IRU,DCU;FCC;FMS,,SIG-041,TBD,TBD,TBD,TBD,BNR,g,,,,,20,"Sign / status matrix in the word, plus receiver freshness timeout",Label and rate TBD,TBD,TBD,TBD
DBUS-005,Aircraft lateral acceleration,IRU,DCU;FCC;FMS,,SIG-042,TBD,TBD,TBD,TBD,BNR,g,,,,,20,"Sign / status matrix in the word, plus receiver freshness timeout",Label and rate TBD,TBD,TBD,TBD
DBUS-006,Aircraft normal acceleration,IRU,DCU;FCC;FMS,,SIG-043,TBD,TBD,TBD,TBD,BNR,g,,,,,20,"Sign / status matrix in the word, plus receiver freshness timeout",Label and rate TBD,TBD,TBD,TBD
DBUS-007,Aircraft pitch rate,IRU,DCU;FCC;FMS,,SIG-044,TBD,TBD,TBD,TBD,BNR,deg/s,,,,,20,"Sign / status matrix in the word, plus receiver freshness timeout",Label and rate TBD,TBD,TBD,TBD
DBUS-008,Aircraft roll rate,IRU,DCU;FCC;FMS,,SIG-045,TBD,TBD,TBD,TBD,BNR,deg/s,,,,,20,"Sign / status matrix in the word, plus receiver freshness timeout",Label and rate TBD,TBD,TBD,TBD
DBUS-009,Aircraft yaw rate,IRU,DCU;FCC;FMS,,SIG-046,TBD,TBD,TBD,TBD,BNR,deg/s,,,,,20,"Sign / status matrix in the word, plus receiver freshness timeout",Label and rate TBD,TBD,TBD,TBD
