Allocation Id,Data name,Sender,Receiver,Instance dimension,Signal Id,Message ID,Label,Start bit,Stop bit,Encoding,Unit,Scale,Resolution,Minimum,Maximum,Refresh period (ms),Validity,Notes,On aircraft ?,On FND ?,On Sim ?
DBUS-078,Backup turbine torque command,BPM,HICU,,SIG-086,TBD,TBD,TBD,TBD,BNR,,,,,,20,"Sign / status matrix in the word, plus receiver freshness timeout","Power-lever angle from the segregated backup channel, translated by the BPM into an overall torque demand.",TBD,TBD,TBD
DBUS-079,Backup electric motor 1 torque command,BPM,HICU,,SIG-088,TBD,TBD,TBD,TBD,BNR,,,,,,20,"Sign / status matrix in the word, plus receiver freshness timeout","Power-lever angle from the segregated backup channel, translated by the BPM into an overall torque demand.",TBD,TBD,TBD
DBUS-080,Backup electric motor 2 torque command,BPM,HICU,,SIG-089,TBD,TBD,TBD,TBD,BNR,,,,,,20,"Sign / status matrix in the word, plus receiver freshness timeout","Power-lever angle from the segregated backup channel, translated by the BPM into an overall torque demand.",TBD,TBD,TBD
DBUS-081,Backup propeller speed command,BPM,HICU,,SIG-087,TBD,TBD,TBD,TBD,BNR,,,,,,20,"Sign / status matrix in the word, plus receiver freshness timeout","Power-lever angle from the segregated backup channel, translated by the BPM into a propeller speed demand.",TBD,TBD,TBD
