Allocation Id,data_name,writer_lru,receiver_lrus,instance_dimension,signal_id,message_or_label,bit_or_field,encoding,unit,scale,resolution,minimum,maximum,update_period_ms,validity,notes,On aircraft ?,On FND ?,On Sim ?
BSIG-AC-002,Mission definition and constraints,FMS,MMS,,SIG-125,TBD,,TBD,,,,,,,TBD,Mission retrieval: FMS -> MMS (was FMS -> FCC directly).,TBD,TBD,TBD
BSIG-AC-003,MMS energy / hybridization strategy,MMS,FCC,,SIG-126,TBD,,TBD,,,,,,,TBD,MMS computes the operating mode / hybridization profile from the mission (was written directly by FMS) and provides it to FCC's power-management function.,TBD,TBD,TBD
BSIG-AC-004,Environmental conditions,ADC;WXR,FCC,,SIG-127,TBD,,TBD,,,,,,,TBD,"Encoding, rate and validity TBD",TBD,TBD,TBD
BSIG-AC-005,Total fuel available,TBD,FCC,,SIG-128,TBD,,TBD,,,,,,,TBD,Physical fuel-data source LRU TBD,TBD,TBD,TBD
BSIG-AC-006,ESS state and discharge capability,MBMS,FCC,,SIG-129,TBD,,TBD,,,,,,,TBD,"Encoding, rate and validity TBD",TBD,TBD,TBD
BSIG-AC-007,Nacelle health and available power,HICU,FCC,,SIG-118,TBD,,TBD,,,,,,,TBD,"Encoding, rate and validity TBD",TBD,TBD,TBD
BSIG-AC-008,HVPDU actual power,HVPDU,FCC,,SIG-130,TBD,,TBD,,,,,,,TBD,"Encoding, rate and validity TBD",TBD,TBD,TBD
BSIG-AC-009,BTMS temperature target,FMS;FCC,BTMS;IPTMS,,SIG-131,TBD,,TBD,,,,,,,TBD,"Encoding, rate and validity TBD",TBD,TBD,TBD
BSIG-AC-011,TMS coolant status,BTMS;IPTMS,FCC,,SIG-132,TBD,,TBD,,,,,,,TBD,"Encoding, rate and validity TBD",TBD,TBD,TBD
