Allocation Id,data_name,writer_lru,receiver_lrus,instance_dimension,signal_id,Message ID,message_or_label,start bit,stop bit,encoding,unit,scale,resolution,minimum,maximum,update_period_ms,validity,notes,On aircraft ?,On FND ?,On Sim ?
BSIG-AC-010,Total energy available and hybridization mode,FCC,FMS;DCU,,SIG-133,TBD,TBD,TBD,TBD,TBD,,,,,,100,"Sign / status matrix in the word, plus receiver freshness timeout",FCC to avionics reporting.,TBD,TBD,TBD
DBUS-STAT-001,FCC status,FCC,DCU,,SIG-134,TBD,TBD,TBD,TBD,TBD,,,,,,100,"Sign / status matrix in the word, plus receiver freshness timeout",,TBD,TBD,TBD
DBUS-065,Power Lever RVDT,FCC,DCU;FMS,,SIG-007,TBD,TBD,TBD,TBD,BNR,,,,,,100,"Sign / status matrix in the word, plus receiver freshness timeout","Low-integrity, informational only; selective FCC to avionics report, distinct from the inter-FCC exchange on FCS_PROP_CTRL.",TBD,TBD,TBD
DBUS-065-B,Power Lever Potentiometer,FCC,DCU;FMS,,SIG-010,TBD,TBD,TBD,TBD,BNR,,,,,,100,"Sign / status matrix in the word, plus receiver freshness timeout","Low-integrity, informational only; selective FCC to avionics report, distinct from the inter-FCC exchange on FCS_PROP_CTRL.",TBD,TBD,TBD
DBUS-065-C,Power Lever Idle Proximity,FCC,DCU;FMS,,SIG-011,TBD,TBD,TBD,TBD,BNR,,,,,,100,"Sign / status matrix in the word, plus receiver freshness timeout","Low-integrity, informational only; selective FCC to avionics report, distinct from the inter-FCC exchange on FCS_PROP_CTRL.",TBD,TBD,TBD
DBUS-STAT-002,Total propulsion power command,FCC,DCU,,SIG-171,TBD,TBD,TBD,TBD,BNR,kW,,,,,100,"Sign / status matrix in the word, plus receiver freshness timeout","Aircraft-level commanded propulsion power for crew display. Low-integrity, informational only.",Yes,TBD,TBD
DBUS-STAT-003,Total propulsion power actual,FCC,DCU,,SIG-172,TBD,TBD,TBD,TBD,BNR,kW,,,,,100,"Sign / status matrix in the word, plus receiver freshness timeout","Aircraft-level achieved propulsion power, displayed against the commanded value. Low-integrity, informational only.",Yes,TBD,TBD
